Departure Time,Aircraft Model,Destination IATA,Destination Name,Flight Number
14:17,GLF5,LTN,London Luton,N501HM
15:00,B738,AGP,Malaga,RYR424
15:25,B738,TFS,Tenerife South (Reina Sofia),RYR7735
15:40,B38M,REU,Reus,RYR1402
15:45,B738,ALC,Alicante,RYR9006
16:20,B738,LHR,London Heathrow,RYR4157
16:25,A20N,CDG,Charles de Gaulle/Roissy,EIN722
16:45,E170,AGP,Malaga,HOP1095
16:50,A320,AMS,Amsterdam Schiphol,EIN886
17:25,E190,FAO,Faro,KLM1128
17:55,B38M,STN,London Stansted,RYR9947
18:00,B738,BRS,Bristol Int'l,RYR908
18:40,AT72,LHR,London Heathrow,EAI3842
20:40,A20N,MAN,Manchester,EIN724
21:25,B738,STN,London Stansted,RYR2088
05:55,B738,AHO,Fertilia (Alghero),RYR902
05:55,B738,MAN,Manchester,RYR8127
05:55,B38M,AMS,Amsterdam Schiphol,RYR1862
